iter	Passed	Remaining
0	0	82
1	1	83
2	4	131
3	6	144
4	8	159
5	10	165
6	11	158
7	12	143
8	14	147
9	17	153
10	19	153
11	21	155
12	23	160
13	25	155
14	25	146
15	27	142
16	28	140
17	30	140
18	32	139
19	34	138
20	35	134
21	36	129
22	37	127
23	39	125
24	40	122
25	42	120
26	43	117
27	45	115
28	46	114
29	47	111
30	49	109
31	50	107
32	51	105
33	53	102
34	54	100
35	55	98
36	56	96
37	58	95
38	59	93
39	60	90
40	61	88
41	62	86
42	63	84
43	64	82
44	65	80
45	66	78
46	67	76
47	69	74
48	70	73
49	71	71
50	72	69
51	73	67
52	74	65
53	74	63
54	75	61
55	76	59
56	76	58
57	77	56
58	78	54
59	79	52
60	80	51
61	80	49
62	81	48
63	82	46
64	83	44
65	83	43
66	84	41
67	85	40
68	85	38
69	86	37
70	87	35
71	87	34
72	88	32
73	89	31
74	89	29
75	90	28
76	90	27
77	91	25
78	91	24
79	92	23
80	93	21
81	93	20
82	94	19
83	94	18
84	95	16
85	95	15
86	96	14
87	96	13
88	97	12
89	97	10
90	98	9
91	98	8
92	99	7
93	99	6
94	100	5
95	100	4
96	101	3
97	101	2
98	102	1
99	102	0
