iter	Passed	Remaining
0	0	821
1	1	800
2	2	744
3	2	730
4	3	741
5	4	725
6	5	712
7	5	706
8	6	706
9	7	706
10	7	696
11	8	687
12	8	674
13	9	663
14	10	659
15	10	654
16	11	651
17	11	646
18	12	651
19	13	655
20	13	647
21	14	641
22	14	635
23	15	630
24	16	627
25	16	619
26	17	613
27	17	607
28	18	605
29	18	598
30	19	596
31	19	591
32	20	590
33	20	587
34	21	581
35	21	580
36	22	576
37	22	574
38	23	571
39	23	568
40	24	566
41	24	564
42	25	561
43	25	559
44	26	558
45	26	556
46	27	554
47	27	554
48	28	551
49	28	549
50	29	549
51	30	549
52	30	549
53	31	548
54	31	546
55	32	545
56	32	542
57	33	540
58	33	538
59	34	537
60	34	537
61	35	534
62	35	533
63	36	533
64	37	532
65	37	532
66	38	531
67	38	529
68	39	528
69	39	528
70	40	527
71	40	525
72	41	524
73	41	523
74	42	522
75	42	521
76	43	520
77	43	518
78	44	516
79	44	514
80	45	512
81	45	511
82	45	507
83	46	506
84	46	505
85	47	504
86	47	502
87	48	503
88	49	505
89	49	504
90	50	503
91	50	503
92	51	501
93	52	501
94	52	500
95	53	503
96	54	503
97	54	503
98	55	502
99	55	501
100	56	500
101	56	499
102	57	499
103	57	499
104	58	498
105	59	497
106	59	497
107	60	496
108	60	496
109	61	495
110	61	494
111	62	493
112	62	492
113	63	491
114	63	490
115	64	489
116	64	487
117	65	486
118	65	487
119	66	486
120	67	487
121	67	486
122	68	486
123	68	486
124	69	485
125	69	485
126	70	484
127	70	483
128	71	483
129	72	482
130	72	481
131	73	481
132	73	480
133	74	480
134	74	479
135	75	478
136	75	477
137	76	477
138	76	476
139	77	476
140	78	475
141	78	473
142	78	472
143	79	472
144	79	471
145	80	470
146	80	469
147	81	469
148	82	468
149	82	467
150	83	466
151	83	466
152	84	465
153	84	465
154	85	464
155	85	463
156	86	463
157	86	462
158	87	461
159	87	460
160	87	458
161	88	457
162	88	456
163	89	456
164	89	455
165	90	455
166	91	454
167	91	453
168	92	452
169	92	451
170	93	451
171	93	450
172	94	450
173	94	449
174	95	449
175	95	448
176	96	447
177	96	447
178	97	446
179	97	446
180	98	445
181	98	444
182	99	443
183	99	443
184	100	442
185	100	441
186	101	440
187	101	439
188	102	438
189	102	438
190	103	437
191	103	436
192	104	436
193	104	435
194	105	434
195	105	434
196	106	433
197	106	433
198	107	432
199	108	432
200	108	431
201	109	430
202	109	430
203	110	429
204	110	428
205	111	427
206	111	427
207	112	426
208	112	425
209	112	425
210	113	424
211	114	424
212	114	423
213	115	423
214	115	422
215	116	421
216	116	420
217	117	420
218	117	419
219	118	418
220	118	417
221	119	417
222	119	416
223	120	416
224	120	415
225	121	414
226	121	414
227	122	413
228	122	413
229	123	412
230	123	412
231	124	411
232	124	411
233	125	410
234	125	409
235	126	409
236	127	408
237	127	408
238	127	407
239	128	406
240	128	406
241	129	405
242	129	404
243	130	404
244	130	403
245	131	403
246	132	403
247	132	402
248	133	401
249	133	401
250	134	400
251	134	399
252	135	399
253	135	398
254	136	397
255	136	397
256	137	396
257	137	396
258	138	395
259	138	395
260	139	394
261	139	393
262	140	393
263	140	392
264	141	392
265	141	391
266	142	391
267	143	390
268	143	390
269	144	389
270	144	388
271	145	388
272	145	388
273	146	387
274	146	386
275	147	385
276	147	385
277	148	384
278	148	384
279	149	383
280	149	383
281	150	382
282	150	382
283	151	381
284	151	381
285	152	380
286	153	380
287	153	379
288	154	378
289	154	378
290	155	377
291	155	377
292	156	377
293	156	376
294	157	375
295	157	375
296	158	374
297	158	374
298	159	373
299	159	372
300	160	372
301	160	371
302	161	370
303	161	370
304	162	369
305	162	369
306	163	368
307	163	367
308	164	367
309	164	366
310	165	366
311	165	365
312	166	364
313	166	364
314	167	364
315	168	363
316	168	363
317	169	362
318	169	362
319	170	361
320	170	361
321	171	360
322	171	359
323	172	359
324	172	359
325	173	358
326	173	357
327	174	357
328	175	357
329	175	356
330	176	356
331	176	355
332	177	355
333	177	354
334	178	354
335	179	353
336	179	353
337	180	352
338	180	352
339	181	351
340	181	351
341	182	351
342	183	350
343	183	350
344	184	350
345	185	350
346	185	349
347	186	349
348	187	348
349	187	348
350	188	347
351	188	347
352	189	346
353	189	346
354	190	346
355	191	345
356	192	345
357	192	345
358	193	344
359	193	344
360	194	343
361	194	343
362	195	342
363	195	341
364	196	341
365	197	341
366	197	341
367	198	340
368	198	340
369	199	339
370	199	338
371	200	338
372	201	337
373	201	337
374	202	336
375	202	336
376	203	336
377	204	335
378	204	335
379	205	334
380	205	334
381	206	333
382	206	333
383	207	332
384	207	332
385	208	332
386	209	331
387	210	331
388	210	330
389	211	330
390	211	329
391	212	329
392	212	328
393	213	328
394	214	328
395	215	328
396	215	327
397	216	327
398	217	327
399	217	326
400	218	326
401	218	325
402	219	325
403	220	324
404	220	324
405	221	324
406	222	323
407	222	323
408	223	322
409	223	321
410	224	321
411	224	321
412	225	320
413	226	320
414	227	320
415	227	319
416	228	319
417	228	318
418	229	318
419	229	317
420	230	316
421	231	316
422	231	316
423	232	315
424	233	315
425	233	315
426	234	314
427	234	313
428	235	313
429	235	312
430	236	312
431	237	311
432	237	311
433	238	310
434	239	310
435	239	309
436	240	309
437	240	308
438	241	308
439	241	307
440	242	306
441	242	306
442	243	305
443	243	305
444	244	304
445	244	304
446	245	303
447	245	303
448	246	302
449	246	301
450	247	301
451	247	300
452	248	300
453	249	299
454	249	299
455	250	299
456	251	298
457	251	297
458	252	297
459	252	296
460	253	296
461	253	295
462	254	295
463	255	294
464	256	294
465	256	294
466	257	293
467	257	292
468	258	292
469	258	291
470	259	291
471	259	290
472	260	290
473	261	289
474	261	289
475	262	288
476	263	288
477	263	287
478	264	287
479	264	286
480	265	286
481	265	285
482	266	284
483	266	284
484	267	284
485	268	283
486	269	283
487	269	282
488	270	282
489	270	281
490	271	281
491	271	280
492	272	280
493	273	279
494	273	279
495	274	278
496	275	278
497	275	277
498	276	277
499	276	276
500	277	276
501	277	275
502	278	275
503	279	274
504	280	274
505	280	273
506	281	273
507	281	272
508	282	272
509	282	271
510	283	271
511	283	270
512	284	270
513	285	269
514	285	269
515	286	268
516	287	268
517	287	267
518	288	266
519	288	266
520	289	265
521	289	265
522	290	264
523	290	264
524	291	263
525	292	263
526	293	263
527	293	262
528	294	262
529	294	261
530	295	260
531	296	260
532	297	260
533	298	260
534	298	259
535	299	258
536	299	258
537	300	257
538	300	257
539	301	256
540	302	256
541	302	255
542	303	255
543	304	254
544	304	254
545	305	253
546	305	253
547	306	252
548	306	252
549	307	251
550	308	251
551	309	250
552	309	250
553	310	249
554	310	249
555	311	248
556	311	248
557	312	247
558	312	246
559	313	246
560	314	245
561	314	245
562	315	244
563	316	244
564	316	243
565	317	243
566	317	242
567	318	242
568	319	241
569	319	241
570	320	240
571	321	240
572	321	239
573	322	239
574	322	238
575	323	238
576	324	237
577	324	236
578	325	236
579	325	235
580	326	235
581	327	235
582	327	234
583	328	233
584	328	233
585	329	232
586	330	232
587	330	231
588	331	231
589	332	230
